  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4520                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.5905   0.00000  -0.00194  -0.1355   0.0000   0.0000
   1.000   0.7186   0.00000  -0.00195  -0.1385   0.0000   0.0000
   2.000   0.8466   0.00000  -0.00196  -0.1416   0.0000   0.0000
   3.000   0.9743   0.00000  -0.00197  -0.1447   0.0000   0.0000
   4.000   1.1016   0.00000  -0.00198  -0.1478   0.0000   0.0000
   5.000   1.2287   0.00000  -0.00199  -0.1509   0.0000   0.0000
   6.000   1.3554   0.00000  -0.00201  -0.1541   0.0000   0.0000
   7.000   1.4816   0.00000  -0.00202  -0.1572   0.0000   0.0000
   8.000   1.6074   0.00000  -0.00204  -0.1603   0.0000   0.0000
   9.000   1.7328   0.00000  -0.00205  -0.1634   0.0000   0.0000
  10.000   1.8576   0.00000  -0.00207  -0.1664   0.0000   0.0000
  11.000   1.9818   0.00000  -0.00209  -0.1695   0.0000   0.0000
  12.000   2.1054   0.00000  -0.00211  -0.1725   0.0000   0.0000
  13.000   2.2284   0.00000  -0.00213  -0.1756   0.0000   0.0000
  14.000   2.3507   0.00000  -0.00215  -0.1785   0.0000   0.0000
  15.000   2.4723   0.00000  -0.00218  -0.1815   0.0000   0.0000
  16.000   2.5932   0.00000  -0.00220  -0.1844   0.0000   0.0000
  17.000   2.7133   0.00000  -0.00222  -0.1873   0.0000   0.0000
  18.000   2.8325   0.00000  -0.00224  -0.1901   0.0000   0.0000
  19.000   2.9509   0.00000  -0.00227  -0.1929   0.0000   0.0000
  20.000   3.0684   0.00000  -0.00229  -0.1956   0.0000   0.0000
  21.000   3.1849   0.00000  -0.00232  -0.1983   0.0000   0.0000
  22.000   3.3005   0.00000  -0.00234  -0.2009   0.0000   0.0000
  23.000   3.4150   0.00000  -0.00236  -0.2035   0.0000   0.0000
  24.000   3.5286   0.00000  -0.00239  -0.2060   0.0000   0.0000
  25.000   3.6410   0.00000  -0.00241  -0.2084   0.0000   0.0000
  26.000   3.7524   0.00000  -0.00243  -0.2108   0.0000   0.0000
  27.000   3.8626   0.00000  -0.00245  -0.2130   0.0000   0.0000
  28.000   3.9717   0.00000  -0.00247  -0.2153   0.0000   0.0000
  29.000   4.0795   0.00000  -0.00249  -0.2174   0.0000   0.0000
  30.000   4.1861   0.00000  -0.00251  -0.2195   0.0000   0.0000
