NACA 4520                                       
 Alfa =  26.00000 Re =        0.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00210  0.67215
   0.99201  0.00523  0.46572
   0.97906  0.01021  0.35205
   0.96493  0.01554  0.25211
   0.94965  0.02117  0.16297
   0.93333  0.02703  0.07762
   0.91611  0.03305 -0.00615
   0.89815  0.03915 -0.08878
   0.87959  0.04526 -0.17077
   0.86058  0.05132 -0.25232
   0.84122  0.05729 -0.33400
   0.82162  0.06313 -0.41549
   0.80183  0.06881 -0.49794
   0.78190  0.07431 -0.58007
   0.76189  0.07962 -0.66412
   0.74181  0.08473 -0.74819
   0.72169  0.08963 -0.83435
   0.70155  0.09431 -0.92118
   0.68141  0.09877 -1.01045
   0.66128  0.10300 -1.10108
   0.64117  0.10700 -1.19429
   0.62109  0.11076 -1.28929
   0.60106  0.11428 -1.38729
   0.58109  0.11754 -1.48793
   0.56120  0.12055 -1.59169
   0.54138  0.12331 -1.69833
   0.52166  0.12580 -1.80870
   0.50205  0.12802 -1.92234
   0.48256  0.12996 -2.04033
   0.46321  0.13163 -2.16205
   0.44400  0.13302 -2.28800
   0.42496  0.13411 -2.41880
   0.40610  0.13492 -2.55422
   0.38744  0.13543 -2.69460
   0.36900  0.13564 -2.84017
   0.35079  0.13555 -2.99155
   0.33284  0.13517 -3.14854
   0.31518  0.13448 -3.31161
   0.29784  0.13349 -3.48061
   0.28083  0.13220 -3.65655
   0.26421  0.13063 -3.83956
   0.24800  0.12877 -4.02896
   0.23224  0.12665 -4.22603
   0.21697  0.12427 -4.43064
   0.20224  0.12165 -4.64236
   0.18809  0.11882 -4.86178
   0.17454  0.11581 -5.08999
   0.16164  0.11263 -5.32443
   0.14940  0.10932 -5.56784
   0.13784  0.10591 -5.81815
   0.12697  0.10242 -6.07634
   0.11677  0.09888 -6.34366
   0.10723  0.09532 -6.61718
   0.09833  0.09176 -6.90007
   0.09005  0.08821 -7.19029
   0.08234  0.08468 -7.49053
   0.07517  0.08119 -7.79729
   0.06852  0.07773 -8.11674
   0.06233  0.07432 -8.44355
   0.05659  0.07096 -8.78113
   0.05125  0.06765 -9.12886
   0.04629  0.06439 -9.48919
   0.04168  0.06116 -9.85956
   0.03740  0.05799-10.24085
   0.03342  0.05485-10.63448
   0.02972  0.05175-11.03823
   0.02629  0.04869-11.45191
   0.02311  0.04565-11.87334
   0.02017  0.04264-12.30362
   0.01745  0.03966-12.73615
   0.01495  0.03670-13.16671
   0.01266  0.03376-13.59369
   0.01058  0.03084-14.00554
   0.00869  0.02793-14.40279
   0.00699  0.02504-14.76207
   0.00549  0.02217-15.08365
   0.00417  0.01931-15.34744
   0.00304  0.01647-15.54459
   0.00209  0.01365-15.65834
   0.00133  0.01086-15.68074
   0.00074  0.00810-15.60616
   0.00033  0.00538-15.42740
   0.00008  0.00269-15.15697
   0.00000  0.00006-14.80335
   0.00008 -0.00255-14.41889
   0.00032 -0.00521-13.93827
   0.00074 -0.00788-13.35059
   0.00136 -0.01057-12.63820
   0.00218 -0.01325-11.81944
   0.00322 -0.01592-10.90633
   0.00446 -0.01856 -9.92916
   0.00593 -0.02116 -8.91721
   0.00761 -0.02371 -7.90770
   0.00951 -0.02621 -6.92198
   0.01162 -0.02865 -5.98978
   0.01394 -0.03103 -5.12259
   0.01647 -0.03334 -4.33033
   0.01921 -0.03559 -3.61354
   0.02216 -0.03777 -2.97857
   0.02533 -0.03989 -2.41134
   0.02873 -0.04195 -1.91593
   0.03235 -0.04396 -1.48000
   0.03621 -0.04590 -1.09986
   0.04033 -0.04780 -0.76959
   0.04471 -0.04964 -0.48283
   0.04939 -0.05142 -0.23371
   0.05438 -0.05316 -0.01948
   0.05971 -0.05485  0.16520
   0.06541 -0.05648  0.32382
   0.07151 -0.05806  0.45930
   0.07805 -0.05959  0.57457
   0.08509 -0.06105  0.67157
   0.09266 -0.06245  0.75262
   0.10082 -0.06377  0.81947
   0.10963 -0.06501  0.87360
   0.11915 -0.06615  0.91650
   0.12945 -0.06718  0.94914
   0.14058 -0.06808  0.97286
   0.15261 -0.06883  0.98857
   0.16558 -0.06942  0.99732
   0.17952 -0.06982  1.00000
   0.19445 -0.07001  0.99755
   0.21036 -0.06998  0.99084
   0.22722 -0.06971  0.98075
   0.24500 -0.06920  0.96802
   0.26361 -0.06845  0.95337
   0.28301 -0.06745  0.93743
   0.30311 -0.06623  0.92070
   0.32384 -0.06478  0.90360
   0.34514 -0.06314  0.88643
   0.36694 -0.06131  0.86933
   0.38920 -0.05932  0.85268
   0.41185 -0.05719  0.83635
   0.43487 -0.05493  0.82048
   0.45819 -0.05258  0.80525
   0.48180 -0.05014  0.79043
   0.50563 -0.04764  0.77606
   0.52964 -0.04510  0.76226
   0.55376 -0.04254  0.74885
   0.57791 -0.03998  0.73586
   0.60204 -0.03744  0.72339
   0.62611 -0.03493  0.71116
   0.65011 -0.03246  0.69912
   0.67404 -0.03004  0.68750
   0.69789 -0.02767  0.67602
   0.72167 -0.02536  0.66460
   0.74538 -0.02311  0.65335
   0.76898 -0.02091  0.64225
   0.79246 -0.01879  0.63118
   0.81577 -0.01673  0.62030
   0.83881 -0.01475  0.60960
   0.86147 -0.01285  0.59943
   0.88355 -0.01105  0.58966
   0.90485 -0.00934  0.58131
   0.92508 -0.00776  0.57387
   0.94400 -0.00630  0.56918
   0.96141 -0.00498  0.56784
   0.97721 -0.00379  0.57270
   0.99139 -0.00274  0.59264
   1.00000 -0.00210  0.67215
