NACA 4520                                       
 Alfa =  29.00000 Re =        0.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00210  0.69277
   0.99201  0.00523  0.49376
   0.97906  0.01021  0.38253
   0.96493  0.01554  0.28368
   0.94965  0.02117  0.19489
   0.93333  0.02703  0.10932
   0.91611  0.03305  0.02486
   0.89815  0.03915 -0.05886
   0.87959  0.04526 -0.14235
   0.86058  0.05132 -0.22569
   0.84122  0.05729 -0.30956
   0.82162  0.06313 -0.39350
   0.80183  0.06881 -0.47878
   0.78190  0.07431 -0.56400
   0.76189  0.07962 -0.65151
   0.74181  0.08473 -0.73932
   0.72169  0.08963 -0.82959
   0.70155  0.09431 -0.92083
   0.68141  0.09877 -1.01492
   0.66128  0.10300 -1.11074
   0.64117  0.10700 -1.20953
   0.62109  0.11076 -1.31053
   0.60106  0.11428 -1.41502
   0.58109  0.11754 -1.52260
   0.56120  0.12055 -1.63385
   0.54138  0.12331 -1.74853
   0.52166  0.12580 -1.86751
   0.50205  0.12802 -1.99043
   0.48256  0.12996 -2.11836
   0.46321  0.13163 -2.25081
   0.44400  0.13302 -2.38824
   0.42496  0.13411 -2.53141
   0.40610  0.13492 -2.68012
   0.38744  0.13543 -2.83481
   0.36900  0.13564 -2.99574
   0.35079  0.13555 -3.16364
   0.33284  0.13517 -3.33842
   0.31518  0.13448 -3.52063
   0.29784  0.13349 -3.71019
   0.28083  0.13220 -3.90827
   0.26421  0.13063 -4.11509
   0.24800  0.12877 -4.33002
   0.23224  0.12665 -4.55452
   0.21697  0.12427 -4.78856
   0.20224  0.12165 -5.03174
   0.18809  0.11882 -5.28477
   0.17454  0.11581 -5.54888
   0.16164  0.11263 -5.82145
   0.14940  0.10932 -6.10536
   0.13784  0.10591 -6.39856
   0.12697  0.10242 -6.70204
   0.11677  0.09888 -7.01723
   0.10723  0.09532 -7.34103
   0.09833  0.09176 -7.67691
   0.09005  0.08821 -8.02272
   0.08234  0.08468 -8.38143
   0.07517  0.08119 -8.74941
   0.06852  0.07773 -9.13335
   0.06233  0.07432 -9.52775
   0.05659  0.07096 -9.93634
   0.05125  0.06765-10.35867
   0.04629  0.06439-10.79761
   0.04168  0.06116-11.25044
   0.03740  0.05799-11.71862
   0.03342  0.05485-12.20364
   0.02972  0.05175-12.70350
   0.02629  0.04869-13.21787
   0.02311  0.04565-13.74525
   0.02017  0.04264-14.28627
   0.01745  0.03966-14.83423
   0.01495  0.03670-15.38454
   0.01266  0.03376-15.93523
   0.01058  0.03084-16.47321
   0.00869  0.02793-16.99905
   0.00699  0.02504-17.48604
   0.00549  0.02217-17.93366
   0.00417  0.01931-18.31809
   0.00304  0.01647-18.62831
   0.00209  0.01365-18.84422
   0.00133  0.01086-18.95405
   0.00074  0.00810-18.95067
   0.00033  0.00538-18.82338
   0.00008  0.00269-18.58598
   0.00000  0.00006-18.24696
   0.00008 -0.00255-17.86991
   0.00032 -0.00521-17.37698
   0.00074 -0.00788-16.75147
   0.00136 -0.01057-15.96979
   0.00218 -0.01325-15.05058
   0.00322 -0.01592-14.00624
   0.00446 -0.01856-12.87143
   0.00593 -0.02116-11.68056
   0.00761 -0.02371-10.47908
   0.00951 -0.02621 -9.29368
   0.01162 -0.02865 -8.16200
   0.01394 -0.03103 -7.09971
   0.01647 -0.03334 -6.12084
   0.01921 -0.03559 -5.22807
   0.02216 -0.03777 -4.43013
   0.02533 -0.03989 -3.71183
   0.02873 -0.04195 -3.07876
   0.03235 -0.04396 -2.51694
   0.03621 -0.04590 -2.02256
   0.04033 -0.04780 -1.58885
   0.04471 -0.04964 -1.20833
   0.04939 -0.05142 -0.87421
   0.05438 -0.05316 -0.58329
   0.05971 -0.05485 -0.32915
   0.06541 -0.05648 -0.10764
   0.07151 -0.05806  0.08476
   0.07805 -0.05959  0.25162
   0.08509 -0.06105  0.39527
   0.09266 -0.06245  0.51852
   0.10082 -0.06377  0.62352
   0.10963 -0.06501  0.71207
   0.11915 -0.06615  0.78601
   0.12945 -0.06718  0.84641
   0.14058 -0.06808  0.89497
   0.15261 -0.06883  0.93273
   0.16558 -0.06942  0.96097
   0.17952 -0.06982  0.98067
   0.19445 -0.07001  0.99301
   0.21036 -0.06998  0.99901
   0.22722 -0.06971  0.99970
   0.24500 -0.06920  0.99604
   0.26361 -0.06845  0.98894
   0.28301 -0.06745  0.97917
   0.30311 -0.06623  0.96745
   0.32384 -0.06478  0.95433
   0.34514 -0.06314  0.94029
   0.36694 -0.06131  0.92562
   0.38920 -0.05932  0.91075
   0.41185 -0.05719  0.89573
   0.43487 -0.05493  0.88075
   0.45819 -0.05258  0.86603
   0.48180 -0.05014  0.85145
   0.50563 -0.04764  0.83709
   0.52964 -0.04510  0.82310
   0.55376 -0.04254  0.80934
   0.57791 -0.03998  0.79589
   0.60204 -0.03744  0.78283
   0.62611 -0.03493  0.76994
   0.65011 -0.03246  0.75717
   0.67404 -0.03004  0.74475
   0.69789 -0.02767  0.73240
   0.72167 -0.02536  0.72008
   0.74538 -0.02311  0.70785
   0.76898 -0.02091  0.69571
   0.79246 -0.01879  0.68353
   0.81577 -0.01673  0.67146
   0.83881 -0.01475  0.65946
   0.86147 -0.01285  0.64788
   0.88355 -0.01105  0.63656
   0.90485 -0.00934  0.62649
   0.92508 -0.00776  0.61710
   0.94400 -0.00630  0.61022
   0.96141 -0.00498  0.60630
   0.97721 -0.00379  0.60787
   0.99139 -0.00274  0.62346
   1.00000 -0.00210  0.69277
