  
       XFOIL         Version 6.99
  
 Calculated polar for: pane                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    19.900 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.500  -0.2052   0.00510   0.00135  -0.0627   0.7334   0.0069
  -4.000  -0.1456   0.00491   0.00118  -0.0637   0.7333   0.0070
  -3.500  -0.0859   0.00474   0.00104  -0.0648   0.7332   0.0071
  -3.000  -0.0261   0.00459   0.00092  -0.0660   0.7329   0.0071
  -2.500   0.0337   0.00445   0.00082  -0.0671   0.7325   0.0072
  -2.000   0.0936   0.00432   0.00073  -0.0683   0.7318   0.0073
  -1.500   0.1536   0.00420   0.00065  -0.0694   0.7299   0.0079
  -1.000   0.2123   0.00445   0.00067  -0.0705   0.6551   0.0107
  -0.500   0.2693   0.00512   0.00092  -0.0716   0.5019   0.0159
   1.000   0.4411   0.00573   0.00130  -0.0748   0.2570   0.2521
   1.500   0.4984   0.00509   0.00135  -0.0767   0.1853   0.6594
   2.000   0.5553   0.00540   0.00162  -0.0776   0.1246   0.7218
   2.500   0.6129   0.00568   0.00179  -0.0785   0.0967   0.7236
   3.000   0.6702   0.00598   0.00198  -0.0793   0.0742   0.7248
   3.500   0.7270   0.00630   0.00220  -0.0801   0.0545   0.7255
   4.000   0.7835   0.00663   0.00244  -0.0808   0.0389   0.7258
   4.500   0.8397   0.00695   0.00268  -0.0815   0.0305   0.7260
   5.000   0.8961   0.00723   0.00291  -0.0822   0.0259   0.7263
   5.500   0.9513   0.00759   0.00322  -0.0828   0.0217   0.7264
   6.000   1.0064   0.00792   0.00351  -0.0833   0.0178   0.7265
   6.500   1.0614   0.00821   0.00377  -0.0838   0.0155   0.7266
   7.000   1.1158   0.00852   0.00405  -0.0843   0.0154   0.7266
   7.500   1.1696   0.00885   0.00435  -0.0847   0.0153   0.7266
   8.000   1.2226   0.00920   0.00467  -0.0850   0.0152   0.7266
   8.500   1.2747   0.00956   0.00502  -0.0852   0.0151   0.7266
   9.000   1.3257   0.00996   0.00541  -0.0852   0.0149   0.7266
   9.500   1.3743   0.01043   0.00585  -0.0850   0.0147   0.7266
  10.000   1.4180   0.01111   0.00652  -0.0842   0.0141   0.7266
