  
       XFOIL         Version 6.99
  
 Calculated polar for: FX S 02-196 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    19.900 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -0.5404   0.00919   0.00379  -0.0924   0.1657   0.0041
  -8.500  -0.4833   0.00891   0.00350  -0.0931   0.1646   0.0045
  -8.000  -0.4261   0.00875   0.00326  -0.0937   0.1250   0.0049
  -7.000  -0.3102   0.00832   0.00283  -0.0952   0.0958   0.0114
  -6.500  -0.2512   0.00827   0.00278  -0.0961   0.0822   0.0120
  -5.500  -0.1330   0.00820   0.00270  -0.0978   0.0724   0.0126
  -5.000  -0.0740   0.00818   0.00265  -0.0986   0.0505   0.0128
  -4.500  -0.0148   0.00814   0.00260  -0.0995   0.0500   0.0129
  -4.000   0.0444   0.00812   0.00257  -0.1004   0.0498   0.0130
  -3.500   0.1036   0.00811   0.00255  -0.1013   0.0489   0.0130
  -3.000   0.1628   0.00811   0.00254  -0.1022   0.0460   0.0131
  -2.500   0.2221   0.00795   0.00233  -0.1033   0.0448   0.0138
  -2.000   0.2813   0.00793   0.00229  -0.1043   0.0435   0.0141
  -1.500   0.3400   0.00796   0.00227  -0.1051   0.0254   0.0142
  -0.500   0.4577   0.00802   0.00228  -0.1069   0.0247   0.0142
   0.000   0.5162   0.00808   0.00232  -0.1078   0.0227   0.0141
   0.500   0.5745   0.00816   0.00240  -0.1086   0.0220   0.0141
   1.000   0.6324   0.00827   0.00249  -0.1094   0.0218   0.0141
   1.500   0.6900   0.00839   0.00260  -0.1101   0.0217   0.0141
   2.000   0.7472   0.00853   0.00274  -0.1108   0.0217   0.0152
   2.500   0.8040   0.00869   0.00290  -0.1114   0.0217   0.0162
   3.000   0.8602   0.00887   0.00308  -0.1119   0.0217   0.0181
   3.500   0.9158   0.00906   0.00328  -0.1123   0.0216   0.0328
   4.000   0.9708   0.00928   0.00351  -0.1127   0.0216   0.0358
   4.500   1.0249   0.00952   0.00376  -0.1129   0.0216   0.0368
   5.000   1.0779   0.00979   0.00405  -0.1129   0.0215   0.0390
   5.500   1.1294   0.01010   0.00439  -0.1127   0.0213   0.0623
   6.000   1.1813   0.01037   0.00465  -0.1125   0.0213   0.0667
   6.500   1.2324   0.01062   0.00492  -0.1123   0.0213   0.0952
   7.000   1.2832   0.01085   0.00514  -0.1120   0.0212   0.1034
   7.500   1.3310   0.01114   0.00545  -0.1112   0.0211   0.1327
   8.000   1.3762   0.01145   0.00576  -0.1100   0.0210   0.1443
   8.500   1.4051   0.01180   0.00612  -0.1055   0.0209   0.1516
   9.500   1.4681   0.01291   0.00729  -0.0986   0.0205   0.1950
  10.000   1.4989   0.01363   0.00807  -0.0956   0.0200   0.2375
