  
       XFOIL         Version 6.99
  
 Calculated polar for: FX S 02-196 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    19.900 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.5162   0.00808   0.00232  -0.1078   0.0227   0.0141
   0.500   0.5745   0.00816   0.00240  -0.1086   0.0220   0.0141
   1.000   0.6324   0.00827   0.00249  -0.1094   0.0218   0.0141
   1.500   0.6900   0.00839   0.00260  -0.1101   0.0217   0.0141
   2.000   0.7472   0.00853   0.00274  -0.1108   0.0217   0.0152
   2.500   0.8040   0.00869   0.00290  -0.1114   0.0217   0.0162
   3.000   0.8602   0.00887   0.00308  -0.1119   0.0217   0.0181
   3.500   0.9158   0.00906   0.00328  -0.1123   0.0216   0.0328
   4.000   0.9708   0.00928   0.00351  -0.1127   0.0216   0.0358
   4.500   1.0249   0.00952   0.00376  -0.1129   0.0216   0.0368
   5.000   1.0779   0.00979   0.00405  -0.1129   0.0215   0.0390
   5.500   1.1294   0.01010   0.00439  -0.1127   0.0213   0.0623
   6.000   1.1813   0.01037   0.00465  -0.1125   0.0213   0.0667
   6.500   1.2324   0.01062   0.00492  -0.1123   0.0213   0.0952
   7.000   1.2832   0.01085   0.00514  -0.1120   0.0212   0.1034
   7.500   1.3310   0.01114   0.00545  -0.1112   0.0211   0.1327
   8.000   1.3762   0.01145   0.00576  -0.1100   0.0210   0.1443
   8.500   1.4051   0.01180   0.00612  -0.1055   0.0209   0.1516
   9.500   1.4681   0.01291   0.00729  -0.0986   0.0205   0.1950
  10.000   1.4989   0.01363   0.00807  -0.0956   0.0200   0.2375
