  
       XFOIL         Version 6.99
  
 Calculated polar for: FX S 02-196 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    19.900 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  10.000   1.4989   0.01363   0.00807  -0.0956   0.0200   0.2375
  10.125   1.5061   0.01385   0.00828  -0.0948   0.0197   0.2384
  10.250   1.5127   0.01410   0.00853  -0.0939   0.0194   0.2413
  10.375   1.5202   0.01433   0.00877  -0.0932   0.0190   0.2487
  10.500   1.5258   0.01463   0.00907  -0.0923   0.0180   0.2538
  10.625   1.5324   0.01490   0.00936  -0.0915   0.0176   0.2656
  10.750   1.5402   0.01513   0.00964  -0.0910   0.0173   0.3028
  10.875   1.5435   0.01556   0.01006  -0.0898   0.0158   0.3025
  11.000   1.5525   0.01577   0.01030  -0.0894   0.0173   0.3085
  11.125   1.5549   0.01628   0.01079  -0.0882   0.0144   0.3119
  11.250   1.5583   0.01677   0.01127  -0.0871   0.0134   0.3097
  11.375   1.5585   0.01742   0.01193  -0.0857   0.0110   0.3189
  11.500   1.5631   0.01789   0.01241  -0.0849   0.0107   0.3206
  11.625   1.5668   0.01842   0.01294  -0.0840   0.0097   0.3242
  11.750   1.5715   0.01891   0.01344  -0.0832   0.0097   0.3281
  11.875   1.5781   0.01928   0.01389  -0.0828   0.0096   0.3743
  12.000   1.5836   0.01973   0.01437  -0.0821   0.0090   0.3913
  12.125   1.5882   0.02025   0.01495  -0.0815   0.0090   0.4236
  12.250   1.5933   0.02077   0.01542  -0.0808   0.0090   0.3878
  12.375   1.6003   0.02115   0.01587  -0.0804   0.0090   0.4233
  12.500   1.6003   0.02200   0.01673  -0.0793   0.0081   0.4248
  12.625   1.6018   0.02276   0.01749  -0.0784   0.0067   0.4282
  12.750   1.6065   0.02335   0.01809  -0.0778   0.0067   0.4252
  13.000   1.5887   0.02640   0.02116  -0.0745   0.0016   0.4264
  13.250   1.5971   0.02774   0.02252  -0.0735   0.0015   0.4267
  13.375   1.6001   0.02854   0.02333  -0.0729   0.0015   0.4313
  13.500   1.6049   0.02918   0.02400  -0.0725   0.0014   0.4429
  13.625   1.6091   0.02988   0.02470  -0.0721   0.0013   0.4429
  13.750   1.6098   0.03091   0.02575  -0.0715   0.0011   0.4452
  13.875   1.6142   0.03162   0.02648  -0.0711   0.0011   0.4478
  14.000   1.6199   0.03224   0.02710  -0.0708   0.0012   0.4519
  14.125   1.6242   0.03297   0.02783  -0.0704   0.0011   0.4478
  14.250   1.6251   0.03404   0.02894  -0.0699   0.0010   0.4587
  14.375   1.6295   0.03479   0.02970  -0.0696   0.0009   0.4623
  14.500   1.6346   0.03548   0.03041  -0.0693   0.0009   0.4644
  14.625   1.6394   0.03619   0.03111  -0.0690   0.0009   0.4608
  14.750   1.6406   0.03729   0.03226  -0.0687   0.0009   0.4810
  14.875   1.6446   0.03811   0.03309  -0.0684   0.0009   0.4813
  15.000   1.6493   0.03886   0.03386  -0.0681   0.0009   0.4825
  15.125   1.6542   0.03960   0.03461  -0.0679   0.0009   0.4875
  15.250   1.6555   0.04073   0.03575  -0.0676   0.0009   0.4857
  15.375   1.6587   0.04168   0.03671  -0.0674   0.0009   0.4892
  15.500   1.6632   0.04249   0.03753  -0.0672   0.0009   0.4936
  15.625   1.6680   0.04326   0.03831  -0.0670   0.0009   0.4909
  15.750   1.6726   0.04405   0.03911  -0.0668   0.0009   0.4951
  15.875   1.6733   0.04529   0.04038  -0.0666   0.0009   0.4974
  16.000   1.6762   0.04631   0.04141  -0.0664   0.0009   0.4999
  16.125   1.6804   0.04717   0.04228  -0.0663   0.0009   0.5006
  16.250   1.6851   0.04799   0.04310  -0.0662   0.0009   0.4996
  16.375   1.6896   0.04883   0.04395  -0.0660   0.0009   0.5011
  16.500   1.6941   0.04968   0.04481  -0.0659   0.0009   0.5010
  16.625   1.6928   0.05121   0.04636  -0.0658   0.0009   0.5012
  16.750   1.6969   0.05213   0.04729  -0.0657   0.0009   0.5019
  16.875   1.7004   0.05309   0.04826  -0.0656   0.0008   0.5024
  17.000   1.7046   0.05399   0.04917  -0.0655   0.0008   0.5022
  17.125   1.7086   0.05491   0.05009  -0.0655   0.0008   0.5034
  17.250   1.7084   0.05638   0.05158  -0.0654   0.0008   0.5037
  17.375   1.7104   0.05757   0.05279  -0.0654   0.0007   0.5073
  17.500   1.7143   0.05855   0.05378  -0.0654   0.0007   0.5112
  17.625   1.7167   0.05966   0.05491  -0.0654   0.0006   0.5122
  17.750   1.7216   0.06053   0.05578  -0.0654   0.0006   0.5123
  17.875   1.7243   0.06163   0.05691  -0.0654   0.0005   0.5206
  18.000   1.7214   0.06346   0.05877  -0.0654   0.0004   0.5224
  18.125   1.7234   0.06469   0.06001  -0.0655   0.0004   0.5229
  18.250   1.7271   0.06574   0.06111  -0.0656   0.0004   0.5422
  18.375   1.7323   0.06660   0.06199  -0.0657   0.0004   0.5509
  18.500   1.7357   0.06767   0.06308  -0.0658   0.0004   0.5553
  18.625   1.7402   0.06861   0.06403  -0.0658   0.0004   0.5565
  18.875   1.7418   0.07148   0.06693  -0.0661   0.0004   0.5578
  19.625   1.7609   0.07825   0.07377  -0.0670   0.0004   0.5647
  19.750   1.7563   0.08051   0.07606  -0.0674   0.0004   0.5671
  19.875   1.7592   0.08171   0.07729  -0.0677   0.0004   0.5725
  20.000   1.7625   0.08286   0.07845  -0.0679   0.0004   0.5717
  20.125   1.7665   0.08391   0.07952  -0.0681   0.0004   0.5775
  20.250   1.7700   0.08502   0.08063  -0.0683   0.0004   0.5772
  20.375   1.7740   0.08611   0.08177  -0.0686   0.0004   0.6004
  20.500   1.7768   0.08731   0.08297  -0.0689   0.0004   0.5971
  20.625   1.7714   0.08973   0.08542  -0.0694   0.0004   0.5947
  20.750   1.7739   0.09104   0.08678  -0.0698   0.0004   0.6190
  21.250   1.7876   0.09564   0.09144  -0.0709   0.0004   0.6340
  21.375   1.7907   0.09684   0.09266  -0.0713   0.0004   0.6403
  21.500   1.7918   0.09835   0.09420  -0.0717   0.0004   0.6474
  21.625   1.7865   0.10083   0.09672  -0.0724   0.0004   0.6519
  21.750   1.7888   0.10217   0.09807  -0.0728   0.0004   0.6580
  21.875   1.7919   0.10337   0.09930  -0.0732   0.0004   0.6671
