  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 23014                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    19.900 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -1.0029   0.00799   0.00384  -0.0103   0.8085   0.0109
  -9.500  -0.9479   0.00777   0.00355  -0.0100   0.7712   0.0111
  -9.000  -0.8930   0.00753   0.00325  -0.0096   0.7306   0.0121
  -8.500  -0.8377   0.00731   0.00296  -0.0093   0.6890   0.0129
  -8.000  -0.7823   0.00721   0.00273  -0.0091   0.6213   0.0133
  -7.500  -0.7263   0.00712   0.00252  -0.0089   0.5613   0.0135
  -7.000  -0.6699   0.00695   0.00230  -0.0088   0.5303   0.0148
  -6.500  -0.6134   0.00680   0.00210  -0.0088   0.4969   0.0158
  -6.000  -0.5561   0.00667   0.00193  -0.0088   0.4733   0.0162
  -5.500  -0.4991   0.00657   0.00177  -0.0088   0.4401   0.0178
  -5.000  -0.4418   0.00646   0.00163  -0.0089   0.4129   0.0191
  -4.500  -0.3842   0.00638   0.00150  -0.0090   0.3859   0.0208
  -4.000  -0.3267   0.00633   0.00139  -0.0091   0.3528   0.0224
  -3.500  -0.2690   0.00626   0.00129  -0.0092   0.3306   0.0250
  -3.000  -0.2112   0.00623   0.00122  -0.0094   0.3010   0.0277
  -2.500  -0.1534   0.00621   0.00115  -0.0096   0.2775   0.0303
  -2.000  -0.0954   0.00619   0.00110  -0.0098   0.2548   0.0350
  -1.500  -0.0374   0.00617   0.00106  -0.0100   0.2352   0.0403
  -1.000   0.0207   0.00614   0.00103  -0.0103   0.2237   0.0497
  -0.500   0.0790   0.00610   0.00100  -0.0106   0.2138   0.0600
   0.000   0.1372   0.00606   0.00099  -0.0109   0.2034   0.0781
   0.500   0.1952   0.00597   0.00098  -0.0111   0.1985   0.1181
   1.000   0.2503   0.00554   0.00093  -0.0110   0.1883   0.2932
   1.500   0.3078   0.00538   0.00094  -0.0112   0.1858   0.3660
   2.000   0.3651   0.00530   0.00098  -0.0115   0.1762   0.4334
   2.500   0.4229   0.00521   0.00102  -0.0118   0.1728   0.4927
   3.000   0.4800   0.00512   0.00108  -0.0120   0.1669   0.5740
   3.500   0.5383   0.00518   0.00115  -0.0124   0.1596   0.5975
   4.000   0.5965   0.00524   0.00124  -0.0128   0.1564   0.6223
   4.500   0.6542   0.00533   0.00135  -0.0132   0.1478   0.6498
   5.000   0.7123   0.00539   0.00144  -0.0136   0.1452   0.6777
   5.500   0.7695   0.00551   0.00158  -0.0139   0.1378   0.7060
   6.000   0.8270   0.00558   0.00170  -0.0143   0.1329   0.7386
   6.500   0.8838   0.00573   0.00186  -0.0145   0.1264   0.7693
   7.000   0.9408   0.00584   0.00202  -0.0149   0.1207   0.7980
   7.500   0.9966   0.00604   0.00223  -0.0150   0.1110   0.8311
   8.000   1.0524   0.00624   0.00244  -0.0151   0.1050   0.8597
   8.500   1.1078   0.00646   0.00266  -0.0152   0.0969   0.8859
   9.000   1.1623   0.00673   0.00294  -0.0152   0.0879   0.9111
   9.500   1.2158   0.00706   0.00325  -0.0150   0.0787   0.9335
  10.000   1.2686   0.00743   0.00359  -0.0147   0.0697   0.9518
