NACA 24012                                      
 Alfa =  18.87500 Re = 19899914.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126  0.00172
   0.99384  0.00229 -0.00020
   0.98305  0.00407 -0.00353
   0.97039  0.00614 -0.00742
   0.95615  0.00843 -0.01176
   0.94082  0.01087 -0.01638
   0.92486  0.01337 -0.02112
   0.90856  0.01587 -0.02580
   0.89209  0.01837 -0.03024
   0.87554  0.02084 -0.03412
   0.85895  0.02328 -0.03671
   0.84232  0.02568 -0.03593
   0.82569  0.02805 -0.02961
   0.80904  0.03038 -0.04039
   0.79238  0.03268 -0.05617
   0.77572  0.03494 -0.07632
   0.75905  0.03716 -0.10052
   0.74238  0.03935 -0.12833
   0.72571  0.04150 -0.15926
   0.70904  0.04361 -0.19289
   0.69237  0.04568 -0.22882
   0.67570  0.04772 -0.26651
   0.65904  0.04971 -0.30569
   0.64237  0.05166 -0.34620
   0.62572  0.05357 -0.38767
   0.60907  0.05544 -0.43022
   0.59243  0.05726 -0.47366
   0.57580  0.05903 -0.51813
   0.55918  0.06075 -0.56348
   0.54258  0.06241 -0.61008
   0.52598  0.06403 -0.65794
   0.50941  0.06558 -0.70736
   0.49285  0.06708 -0.75819
   0.47632  0.06851 -0.81081
   0.45980  0.06988 -0.86586
   0.44331  0.07118 -0.92279
   0.42684  0.07240 -0.98246
   0.41041  0.07355 -1.04505
   0.39401  0.07461 -1.11100
   0.37764  0.07559 -1.18079
   0.36131  0.07648 -1.25493
   0.34503  0.07727 -1.33402
   0.32881  0.07796 -1.41914
   0.31266  0.07854 -1.51127
   0.29660  0.07901 -1.61213
   0.28069  0.07935 -1.72524
   0.26498  0.07956 -1.85098
   0.24951  0.07959 -1.98730
   0.23431  0.07943 -2.13271
   0.21936  0.07905 -2.28771
   0.20469  0.07843 -2.45104
   0.19029  0.07755 -2.62269
   0.17617  0.07639 -2.80177
   0.16235  0.07495 -2.98979
   0.14884  0.07320 -3.18490
   0.13566  0.07115 -3.38884
   0.12286  0.06879 -3.60110
   0.11046  0.06612 -3.82369
   0.09855  0.06315 -4.05573
   0.08719  0.05993 -4.30056
   0.07649  0.05649 -4.55931
   0.06655  0.05289 -4.83306
   0.05746  0.04922 -5.12323
   0.04929  0.04556 -5.43212
   0.04204  0.04198 -5.76038
   0.03569  0.03853 -6.10829
   0.03017  0.03524 -6.47757
   0.02538  0.03213 -6.87161
   0.02123  0.02919 -7.28984
   0.01763  0.02641 -7.73870
   0.01450  0.02377 -8.21082
   0.01179  0.02127 -8.71893
   0.00943  0.01887 -9.24566
   0.00739  0.01656 -9.79311
   0.00564  0.01433-10.35886
   0.00414  0.01217-11.19489
   0.00288  0.01006-11.83128
   0.00186  0.00801-12.32907
   0.00106  0.00600-12.79757
   0.00049  0.00404-13.12427
   0.00014  0.00212-13.21213
   0.00000  0.00028-13.01829
   0.00008 -0.00154-12.56026
   0.00039 -0.00339-11.70159
   0.00098 -0.00524-10.35838
   0.00185 -0.00706 -8.69078
   0.00302 -0.00881 -6.88108
   0.00448 -0.01047 -5.18581
   0.00623 -0.01204 -3.73801
   0.00824 -0.01352 -2.56325
   0.01054 -0.01491 -1.64469
   0.01313 -0.01623 -0.94579
   0.01604 -0.01749 -0.41054
   0.01932 -0.01870 -0.00795
   0.02302 -0.01987  0.29637
   0.02724 -0.02101  0.52342
   0.03207 -0.02213  0.69173
   0.03767 -0.02324  0.81406
   0.04422 -0.02435  0.89956
   0.05194 -0.02546  0.95541
   0.06105 -0.02658  0.98714
   0.07173 -0.02771  0.99943
   0.08403 -0.02884  0.99675
   0.09781 -0.02995  0.98337
   0.11276 -0.03105  0.96314
   0.12853 -0.03214  0.93896
   0.14480 -0.03320  0.91284
   0.16135 -0.03425  0.88568
   0.17803 -0.03528  0.85851
   0.19474 -0.03627  0.83113
   0.21141 -0.03723  0.80404
   0.22801 -0.03813  0.77737
   0.24452 -0.03897  0.75089
   0.26092 -0.03973  0.72477
   0.27723 -0.04038  0.69987
   0.29346 -0.04093  0.67555
   0.30966 -0.04135  0.65310
   0.32588 -0.04167  0.63166
   0.34214 -0.04187  0.61149
   0.35845 -0.04198  0.59212
   0.37480 -0.04199  0.57316
   0.39118 -0.04191  0.55566
   0.40761 -0.04174  0.53837
   0.42408 -0.04150  0.52198
   0.44057 -0.04117  0.50608
   0.45710 -0.04078  0.49070
   0.47366 -0.04031  0.47622
   0.49024 -0.03978  0.46179
   0.50684 -0.03919  0.44781
   0.52347 -0.03853  0.43484
   0.54012 -0.03782  0.42140
   0.55678 -0.03705  0.40899
   0.57346 -0.03624  0.39641
   0.59016 -0.03537  0.38420
   0.60686 -0.03445  0.37257
   0.62358 -0.03349  0.36074
   0.64031 -0.03248  0.34940
   0.65704 -0.03143  0.33797
   0.67379 -0.03033  0.32676
   0.69054 -0.02920  0.31589
   0.70729 -0.02802  0.30474
   0.72404 -0.02681  0.29378
   0.74080 -0.02556  0.28329
   0.75756 -0.02427  0.27168
   0.77432 -0.02294  0.26124
   0.79107 -0.02157  0.24989
   0.80782 -0.02017  0.23918
   0.82456 -0.01873  0.22752
   0.84130 -0.01726  0.21645
   0.85802 -0.01575  0.20453
   0.87472 -0.01420  0.19236
   0.89137 -0.01261  0.18004
   0.90794 -0.01100  0.16684
   0.92435 -0.00936  0.15291
   0.94041 -0.00772  0.13854
   0.95584 -0.00610  0.12150
   0.97018 -0.00456  0.10552
   0.98293 -0.00317  0.08553
   0.99380 -0.00196  0.07380
   1.00000 -0.00126  0.00172
