NACA 24012                                      
 Alfa =  22.75000 Re = 19899914.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126 -0.22664
   0.99384  0.00229 -0.22852
   0.98305  0.00407 -0.23185
   0.97039  0.00614 -0.23582
   0.95615  0.00843 -0.24037
   0.94082  0.01087 -0.24539
   0.92486  0.01337 -0.25075
   0.90856  0.01587 -0.25638
   0.89209  0.01837 -0.26223
   0.87554  0.02084 -0.26830
   0.85895  0.02328 -0.27459
   0.84232  0.02568 -0.28109
   0.82569  0.02805 -0.28782
   0.80904  0.03038 -0.29480
   0.79238  0.03268 -0.30204
   0.77572  0.03494 -0.30955
   0.75905  0.03716 -0.31735
   0.74238  0.03935 -0.32547
   0.72571  0.04150 -0.33393
   0.70904  0.04361 -0.34274
   0.69237  0.04568 -0.35193
   0.67570  0.04772 -0.36152
   0.65904  0.04971 -0.37156
   0.64237  0.05166 -0.38205
   0.62572  0.05357 -0.39304
   0.60907  0.05544 -0.40456
   0.59243  0.05726 -0.41664
   0.57580  0.05903 -0.42932
   0.55918  0.06075 -0.44263
   0.54258  0.06241 -0.45660
   0.52598  0.06403 -0.47128
   0.50941  0.06558 -0.48668
   0.49285  0.06708 -0.50285
   0.47632  0.06851 -0.51981
   0.45980  0.06988 -0.53757
   0.44331  0.07118 -0.55614
   0.42684  0.07240 -0.57544
   0.41041  0.07355 -0.59539
   0.39401  0.07461 -0.61581
   0.37764  0.07559 -0.63640
   0.36131  0.07648 -0.65648
   0.34503  0.07727 -0.67343
   0.32881  0.07796 -0.66883
   0.31266  0.07854 -0.72464
   0.29660  0.07901 -0.82829
   0.28069  0.07935 -0.96702
   0.26498  0.07956 -1.12887
   0.24951  0.07959 -1.30433
   0.23431  0.07943 -1.48727
   0.21936  0.07905 -1.67599
   0.20469  0.07843 -1.87069
   0.19029  0.07755 -2.07026
   0.17617  0.07639 -2.27688
   0.16235  0.07495 -2.49065
   0.14884  0.07320 -2.71135
   0.13566  0.07115 -2.94131
   0.12286  0.06879 -3.18010
   0.11046  0.06612 -3.42957
   0.09855  0.06315 -3.69179
   0.08719  0.05993 -3.96571
   0.07649  0.05649 -4.25753
   0.06655  0.05289 -4.56402
   0.05746  0.04922 -4.89047
   0.04929  0.04556 -5.23484
   0.04204  0.04198 -5.60226
   0.03569  0.03853 -5.98956
   0.03017  0.03524 -6.39869
   0.02538  0.03213 -6.83756
   0.02123  0.02919 -7.30438
   0.01763  0.02641 -7.79541
   0.01450  0.02377 -8.32983
   0.01179  0.02127 -8.89333
   0.00943  0.01887 -9.49305
   0.00739  0.01656-10.12232
   0.00564  0.01433-10.76787
   0.00414  0.01217-11.41722
   0.00288  0.01006-12.51623
   0.00186  0.00801-13.00998
   0.00106  0.00600-13.56449
   0.00049  0.00404-13.98351
   0.00014  0.00212-14.17653
   0.00000  0.00028-14.05900
   0.00008 -0.00154-13.66514
   0.00039 -0.00339-12.82381
   0.00098 -0.00524-11.47528
   0.00185 -0.00706 -9.73475
   0.00302 -0.00881 -7.81657
   0.00448 -0.01047 -5.99757
   0.00623 -0.01204 -4.41199
   0.00824 -0.01352 -3.12350
   0.01054 -0.01491 -2.10526
   0.01313 -0.01623 -1.31747
   0.01604 -0.01749 -0.70969
   0.01932 -0.01870 -0.24783
   0.02302 -0.01987  0.10631
   0.02724 -0.02101  0.37555
   0.03207 -0.02213  0.57906
   0.03767 -0.02324  0.73084
   0.04422 -0.02435  0.84079
   0.05194 -0.02546  0.91754
   0.06105 -0.02658  0.96608
   0.07173 -0.02771  0.99199
   0.08403 -0.02884  0.99999
   0.09781 -0.02995  0.99468
   0.11276 -0.03105  0.98036
   0.12853 -0.03214  0.96047
   0.14480 -0.03320  0.93729
   0.16135 -0.03425  0.91230
   0.17803 -0.03528  0.88644
   0.19474 -0.03627  0.85998
   0.21141 -0.03723  0.83323
   0.22801 -0.03813  0.80677
   0.24452 -0.03897  0.77999
   0.26092 -0.03973  0.75355
   0.27723 -0.04038  0.72774
   0.29346 -0.04093  0.70250
   0.30966 -0.04135  0.67886
   0.32588 -0.04167  0.65592
   0.34214 -0.04187  0.63412
   0.35845 -0.04198  0.61296
   0.37480 -0.04199  0.59220
   0.39118 -0.04191  0.57261
   0.40761 -0.04174  0.55315
   0.42408 -0.04150  0.53467
   0.44057 -0.04117  0.51630
   0.45710 -0.04078  0.49857
   0.47366 -0.04031  0.48164
   0.49024 -0.03978  0.46462
   0.50684 -0.03919  0.44791
   0.52347 -0.03853  0.43216
   0.54012 -0.03782  0.41595
   0.55678 -0.03705  0.40057
   0.57346 -0.03624  0.38490
   0.59016 -0.03537  0.36960
   0.60686 -0.03445  0.35472
   0.62358 -0.03349  0.33948
   0.64031 -0.03248  0.32471
   0.65704 -0.03143  0.30963
   0.67379 -0.03033  0.29465
   0.69054 -0.02920  0.27987
   0.70729 -0.02802  0.26459
   0.72404 -0.02681  0.24939
   0.74080 -0.02556  0.23438
   0.75756 -0.02427  0.21803
   0.77432 -0.02294  0.20265
   0.79107 -0.02157  0.18600
   0.80782 -0.02017  0.16973
   0.82456 -0.01873  0.15201
   0.84130 -0.01726  0.13465
   0.85802 -0.01575  0.11574
   0.87472 -0.01420  0.09615
   0.89137 -0.01261  0.07567
   0.90794 -0.01100  0.05367
   0.92435 -0.00936  0.02969
   0.94041 -0.00772  0.00441
   0.95584 -0.00610 -0.02494
   0.97018 -0.00456 -0.05426
   0.98293 -0.00317 -0.08965
   0.99380 -0.00196 -0.11375
   1.00000 -0.00126 -0.22664
