  
       XFOIL         Version 6.99
  
 Calculated polar for: x z                                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    19.900 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -29.000  -1.2651   0.15419   0.15274  -0.0168   0.9989   0.0050
 -28.500  -1.2440   0.15171   0.15027  -0.0198   0.9986   0.0051
 -28.000  -1.2225   0.14931   0.14787  -0.0229   0.9982   0.0051
 -27.500  -1.1985   0.14729   0.14586  -0.0257   0.9976   0.0051
 -27.000  -1.1719   0.14568   0.14424  -0.0283   0.9966   0.0051
 -26.500  -1.1407   0.14431   0.14274  -0.0313   0.9461   0.0051
 -26.000  -1.1128   0.14373   0.14209  -0.0325   0.9119   0.0051
 -25.500  -1.0803   0.14351   0.14185  -0.0337   0.9014   0.0051
 -25.000  -1.0369   0.14461   0.14294  -0.0338   0.8911   0.0051
 -21.000  -1.4337   0.04052   0.03715  -0.0908   0.8664   0.0052
 -20.500  -1.4844   0.03258   0.02903  -0.0899   0.8661   0.0052
 -20.000  -1.4564   0.03107   0.02750  -0.0893   0.8659   0.0052
 -19.500  -1.4279   0.02960   0.02602  -0.0884   0.8656   0.0052
 -19.000  -1.4015   0.02804   0.02445  -0.0874   0.8651   0.0052
 -18.500  -1.4438   0.02249   0.01876  -0.0828   0.8648   0.0052
 -18.000  -1.4228   0.02090   0.01714  -0.0807   0.8645   0.0052
 -17.500  -1.4292   0.01813   0.01430  -0.0766   0.8639   0.0052
 -17.000  -1.4219   0.01621   0.01232  -0.0727   0.8632   0.0052
 -16.500  -1.3983   0.01506   0.01115  -0.0698   0.8627   0.0053
 -16.000  -1.3844   0.01375   0.00980  -0.0655   0.8621   0.0053
 -15.500  -1.3605   0.01285   0.00889  -0.0619   0.8614   0.0053
 -15.000  -1.3448   0.01196   0.00795  -0.0568   0.8601   0.0054
 -14.500  -1.3334   0.01120   0.00715  -0.0503   0.8572   0.0054
 -14.000  -1.3228   0.01076   0.00660  -0.0426   0.8180   0.0054
 -13.000  -1.2523   0.01020   0.00574  -0.0362   0.6849   0.0055
 -12.500  -1.2077   0.00991   0.00534  -0.0347   0.6464   0.0055
 -12.000  -1.1604   0.00958   0.00497  -0.0336   0.6091   0.0056
 -11.500  -1.1111   0.00931   0.00466  -0.0329   0.5944   0.0064
 -11.000  -1.0604   0.00904   0.00436  -0.0324   0.5768   0.0075
 -10.500  -1.0087   0.00875   0.00407  -0.0320   0.5607   0.0086
 -10.000  -0.9559   0.00846   0.00379  -0.0318   0.5452   0.0084
  -9.000  -0.8483   0.00795   0.00321  -0.0317   0.5287   0.0056
  -8.500  -0.7940   0.00783   0.00300  -0.0318   0.4924   0.0061
  -7.000  -0.6264   0.00720   0.00241  -0.0326   0.4600   0.0093
  -6.500  -0.5698   0.00699   0.00222  -0.0330   0.4589   0.0111
  -6.000  -0.5133   0.00677   0.00203  -0.0334   0.4566   0.0142
  -5.500  -0.4592   0.00663   0.00183  -0.0334   0.3959   0.0210
  -5.000  -0.4010   0.00607   0.00152  -0.0340   0.4592   0.0409
  -4.500  -0.3428   0.00588   0.00139  -0.0347   0.4612   0.0448
  -4.000  -0.2844   0.00573   0.00127  -0.0353   0.4606   0.0473
  -3.500  -0.2257   0.00563   0.00118  -0.0361   0.4589   0.0480
  -3.000  -0.1669   0.00554   0.00111  -0.0368   0.4571   0.0485
  -2.500  -0.1089   0.00557   0.00106  -0.0374   0.4389   0.0490
  -2.000  -0.0511   0.00563   0.00106  -0.0380   0.3898   0.0523
  -1.500   0.0018   0.00618   0.00117  -0.0379   0.2494   0.0637
  -1.000   0.0573   0.00637   0.00122  -0.0382   0.1843   0.0783
   0.000   0.1703   0.00641   0.00125  -0.0390   0.1213   0.1351
   0.500   0.2289   0.00622   0.00120  -0.0397   0.1309   0.1814
   1.000   0.2871   0.00617   0.00121  -0.0404   0.1311   0.2186
   1.500   0.3407   0.00536   0.00105  -0.0406   0.1310   0.4572
   2.000   0.3992   0.00540   0.00114  -0.0413   0.1309   0.4760
   2.500   0.4568   0.00531   0.00117  -0.0419   0.1306   0.5298
   3.000   0.5151   0.00539   0.00125  -0.0426   0.1300   0.5346
   3.500   0.5701   0.00574   0.00147  -0.0427   0.0985   0.5360
   4.000   0.6274   0.00590   0.00157  -0.0432   0.0853   0.5369
   4.500   0.6815   0.00627   0.00180  -0.0431   0.0679   0.5373
   6.000   0.8412   0.00803   0.00274  -0.0422   0.0095   0.3294
   6.500   0.8920   0.00772   0.00290  -0.0418   0.0075   0.5367
   7.000   0.9449   0.00796   0.00312  -0.0415   0.0062   0.5409
   7.500   0.9966   0.00819   0.00334  -0.0411   0.0056   0.5729
   8.000   1.0466   0.00836   0.00360  -0.0403   0.0055   0.6076
   8.500   1.0957   0.00865   0.00387  -0.0394   0.0054   0.6086
   9.000   1.1429   0.00895   0.00415  -0.0381   0.0054   0.6090
   9.500   1.1876   0.00927   0.00444  -0.0364   0.0053   0.6092
  10.000   1.2226   0.00956   0.00472  -0.0327   0.0053   0.6095
