  
       XFOIL         Version 6.99
  
 Calculated polar for: x z                                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    19.900 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  10.000   1.2546   0.00941   0.00459  -0.0369   0.0212   0.6021
  10.125   1.2664   0.00949   0.00467  -0.0366   0.0210   0.6039
  10.250   1.2771   0.00961   0.00478  -0.0361   0.0202   0.6055
  10.375   1.2882   0.00971   0.00488  -0.0357   0.0197   0.6070
  10.500   1.2994   0.00980   0.00497  -0.0352   0.0193   0.6084
  10.625   1.3106   0.00989   0.00506  -0.0348   0.0190   0.6096
  10.750   1.3215   0.00998   0.00515  -0.0344   0.0186   0.6109
  10.875   1.3323   0.01008   0.00525  -0.0339   0.0183   0.6120
  11.000   1.3431   0.01016   0.00533  -0.0334   0.0183   0.6130
  11.125   1.3522   0.01024   0.00541  -0.0325   0.0182   0.6140
  11.250   1.3594   0.01031   0.00548  -0.0313   0.0181   0.6146
  11.375   1.3673   0.01040   0.00557  -0.0302   0.0182   0.6150
  11.500   1.3749   0.01050   0.00567  -0.0291   0.0180   0.6155
  11.625   1.3830   0.01060   0.00578  -0.0281   0.0181   0.6158
  11.750   1.3903   0.01073   0.00590  -0.0270   0.0177   0.6161
  11.875   1.3981   0.01085   0.00602  -0.0260   0.0176   0.6176
  12.000   1.4048   0.01100   0.00617  -0.0248   0.0171   0.6198
  12.125   1.4117   0.01115   0.00633  -0.0236   0.0167   0.6218
  12.250   1.4214   0.01124   0.00642  -0.0230   0.0172   0.6239
  12.375   1.4282   0.01140   0.00659  -0.0219   0.0167   0.6255
  12.500   1.4348   0.01159   0.00677  -0.0208   0.0158   0.6270
  12.625   1.4430   0.01172   0.00691  -0.0199   0.0159   0.6285
  12.750   1.4506   0.01189   0.00707  -0.0190   0.0153   0.6297
  12.875   1.4587   0.01204   0.00723  -0.0182   0.0150   0.6308
  13.000   1.4668   0.01220   0.00738  -0.0174   0.0150   0.6317
  13.125   1.4750   0.01235   0.00755  -0.0166   0.0149   0.6325
  13.250   1.4835   0.01251   0.00771  -0.0158   0.0149   0.6329
  13.375   1.4916   0.01268   0.00787  -0.0151   0.0148   0.6334
  13.500   1.4993   0.01285   0.00805  -0.0142   0.0148   0.6345
  13.625   1.5073   0.01303   0.00823  -0.0134   0.0147   0.6374
  13.750   1.5155   0.01321   0.00841  -0.0127   0.0146   0.6399
  13.875   1.5227   0.01341   0.00863  -0.0118   0.0143   0.6422
  14.000   1.5284   0.01367   0.00888  -0.0107   0.0138   0.6445
  14.125   1.5357   0.01388   0.00910  -0.0099   0.0136   0.6463
  14.250   1.5440   0.01406   0.00929  -0.0092   0.0137   0.6483
  14.375   1.5496   0.01435   0.00957  -0.0082   0.0129   0.6492
  14.500   1.5563   0.01459   0.00982  -0.0073   0.0128   0.6503
  14.625   1.5634   0.01483   0.01006  -0.0065   0.0124   0.6511
  14.750   1.5709   0.01506   0.01029  -0.0057   0.0121   0.6552
