X(mm)    Y(mm)
2743.200000    0.000000
2682.262555    7.672730
2607.370452    18.434304
2504.868041    37.584583
2377.054123    67.447058
2226.778884    104.639364
2057.400000    139.261291
1872.703087    168.876878
1676.811175    196.649035
1474.099668    223.507706
1269.100332    246.973039
1066.391568    259.783783
870.499656    255.784198
685.800000    239.511535
516.421116    219.132302
366.145877    191.340943
238.331959    160.282433
135.832291    122.807578
60.937445    83.225945
15.320772    41.855746
0.000000    0.000000
15.320772    -36.536681
60.937445    -72.436939
135.832291    -101.476454
238.331959    -128.176020
366.145877    -150.162768
516.421116    -168.457169
685.800000    -184.345783
870.499656    -192.237970
1066.391568    -193.255697
1269.100332    -184.760006
1474.099668    -163.094213
1676.811175    -131.506265
1872.703087    -99.479405
2057.400000    -72.826474
2226.778884    -49.701298
2377.054123    -29.058718
2504.868041    -14.769389
2607.370452    -6.882689
2682.262555    -2.798064
2743.200000    0.000000
